j,Agua,Energía,Proteina,Grasa Total,Carbo-hidratos,Fibra Diet. total,Ceniza,Calcio,Fosforo,Hierro,Tiamina,Riboﬂavina,Niacina,Vit. C,Vit. A Equiv. Retinol,Ác. grasos mono-insat.,Ác. grasos poli-insat.,Ác. Grasos saturados,Colesterol,Potasio,Sodio,Zinc,Magnesio,Vit. B6,Vit. B12,Ac. Fólico,Folato Equiv. FD,Fracción Comestible
Aceite Vegetal,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,65,7,23,0,0,0,0,0,0,0,0,0,1
Aguacates,73.23,160,2,14.66,8.53,6.7,1.58,12,52,0.55,0.07,0.13,1.74,10,7,9.8,1.82,2.13,0,485,7,0.64,29,0.26,0,0,81,0.74
Ahí Verde,93.89,20,0.86,0.17,3.64,1.7,0.43,10,20,0.34,0.06,0.03,0.48,80,18,0.01,0.06,0.06,0,175,3,0.13,10,0.22,0,0,11,0.82
Ajo,63.8,134,5.3,0.2,29.3,0,1.4,38,134,1.4,0.21,0.08,0.6,9,0,0.01,0.23,0.09,0,529,19,1,0,0,0,3,0,0.94
Alimento Infantil,3,510,12.5,27,54.3,0,3.2,530,420,9,0.4,0.45,5,60,450,10.32,5.2,11.5,0,600,180,6,55,0.3,1.5,80,136,1
Apio,95.43,14,0.69,0.17,2.97,1.6,0.75,40,24,0.2,0.02,0.06,0.32,3,22,0.03,0.08,0.04,0,260,80,0.13,11,0.07,0,0,36,0.89
Arroz,12.37,362,7.5,2.68,76.17,3.4,1.27,33,264,1.8,0.41,0.04,4.31,0,0,0.97,0.96,0.54,0,268,4,2.02,143,0.51,0,0,20,1
Arvejas,11.27,341,24.55,1.16,60.37,25.5,2.65,55,366,4.43,0.73,0.22,2.89,2,7,0.24,0.5,0.16,0,981,15,3.01,115,0.17,0,0,274,1
Azúcar,0.7,384,0,0,99.1,0,0.2,5,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Café Y Té,99.39,1,0.12,0.02,0,0,0.35,2,3,0.01,0.01,0.08,0.19,0,0,0.01,0,0,0,49,2,0.02,3,0,0,0,2,1
Carne De Res,57.83,288,18.28,23.3,0,0,0.84,7,171,1.79,0.09,0.15,3.32,0,0,10.13,0.87,9.56,68,297,53,3.38,19,0.38,2.78,0,6,0.91
Carnes De Puerco,66.15,211,19.9,14.01,0,0,0.89,5,193,0.71,0.78,0.25,4.64,0,2,6.25,1.5,4.86,60,384,42,1.57,20,0.42,0.5,0,6,0.89
Cebolla,88.1,45,1.4,0.2,9.7,0,0.6,30,40,1,0.04,0.03,0.3,10,0,0.04,0.1,0.04,0,157,10,0.1,0,0.16,0,20,0,0.91
Cereales Y Cremas,3,367,3.3,0.52,90.3,3.2,2.88,5,34,14.5,1.2,1.5,16.2,20,517,0.09,0.3,0.17,0,73,479,0.18,8,1.6,5,308,543,1
Cervezas,91.96,43,0.46,0,3.55,0,0.16,4,14,0.02,0,0.03,0.51,0,0,0,0,0,0,27,4,0.01,6,0.05,0.02,0,6,1
Chocolates,1.5,535,7.65,29.66,59.4,3.4,1.78,189,208,2.35,0.11,0.3,0.39,0,49,13.21,0.85,14.23,23,372,79,2.01,63,0.04,0.62,0,11,1
Cocos (Pipas),81.4,122,1.9,11.9,4,0,0.8,11,42,1.1,0.05,0.03,0.8,7,0,3.9,1,30,0,256,23,0,0,0,0,26,0,0.26
Condimentos,7.16,306,11,10.25,64.43,42.8,7.15,1576,200,44,0.34,0.32,6.22,50,345,0.67,5.23,2.66,0,1669,15,4.43,270,1.21,0,0,274,1
"Culanto, Perejil, Cebollina",86,42,3.3,0.7,8,2.8,2,188,72,3,0.15,0.28,1.6,75,337,0.28,0.04,0.01,0,521,46,0.5,0,0.15,0,0,62,0.9
Embutidos,63.46,203,20.17,12.9,0.05,0,3.42,7,215,0.75,0.85,0.2,4.81,0,0,6.09,1.41,4.57,54,337,1386,1.88,16,0.47,0.8,0,4,0.97
Enlatados Y Envasados,81.34,64,1.95,0.5,15.41,1.7,0.8,4,51,0.41,0.03,0.06,0.94,6,3,0.14,0.23,0.08,0,164,213,0.36,16,0.04,0,0,38,1
Frijoles,11.75,333,23.58,0.83,60.01,24.9,3.83,143,407,8.2,0.53,0.22,2.06,5,0,0.06,0.46,0.12,0,1406,24,2.79,140,0.4,0,0,394,1
Galletas / Pasteles Y Dulces,2.2,483,4.5,20,72.1,1.5,1.2,27,75,2.21,0.26,0.24,2.69,0,0,8.44,7.55,2.98,0,91,349,0.4,14,0.02,0,46,82,1
Gelatinas,1,381,7.8,0,90.5,0,0.7,3,141,0.13,0,0.04,0.01,0,0,0,0,0,0,7,466,0.01,2,0,0,0,3,1
Guineos (Bananos),66.2,120,1.1,0.4,31.4,0,0.9,8,33,0.8,0.06,0.03,0.63,22,62,0,0,0,0,370,1,0.17,0,0.5,0,22,0,0.47
Harina De Trigo,11.92,364,10.33,0.98,76.31,2.7,0.47,15,108,4.64,0.79,0.49,5.9,0,0,0.09,0.41,0.16,0,107,2,0.7,22,0.04,0,154,291,1
