i,t,m,Aceite Vegetal,Aguacates,Ahí Verde,Ajo,Alimento Infantil,Apio,Arroz,Arvejas,Azúcar,Café Y Té,Carne De Res,Carnes De Puerco,Cebolla,Cereales Y Cremas,Cervezas,Chocolates,Cigarrillo Y Tabaco,Cocos (Pipas),Condimentos,"Culanto, Perejil, Cebollina",Embutidos,Enlatados Y Envasados,Frijoles,Galletas / Pasteles Y Dulces,Gelatinas,Guineos (Bananos),Harina De Trigo,Helados,Huevos De Gallina,Lecha Evaporada,Leche En Polvo,Leche Líquida,Lechuga,Lentejas,Licores Varios,Limones,Mangos,Manteca,Mantequilla,Manzanas,Margarina,Mariscos,Mayonesa,Maíz De Grano,Maíz De Mazorca,Melones,Miel,Naranjas,Otoes,Otros,Pan De Sal Y Pan De Dulce,"Panela, Raspadura, Etc",Papas,Papayas,Pastas Alimenticias,Pastas De Tomate,Pastillas Y Confites,Pepino,Pescados,Picaritas,Piñas,Plátanos Verdes,Pollo O Gallina,Porotos,Preparación De Maíz,Primer otro,Queso (Blanco Y Amarillo),Raspados Y Duros,Remolacha,Repollo,Sal,Sandias,Sardina Y Atún,Segundo otro,"Sodas, Refrescos Y Jugos",Sopa Enlatada,Tercer otro,Tomate,Viscera De Res,Visceras De Pollo O Gallina,Yuca,Zanahoria,Zapallo / Chayote,Ñame
19971000,1997,Chíriqui,6,,0.5,,2.7,0.3,7.25,,1.6,,8.8,,0.4,1.32,,,,,0.5,,1.2,,1.2,,,,0.9,,,4.9,6,18.5,,0.6,,,,,,,0.25,,,,,,,,0.8,,15,,,,1,,,,,,,,10.8,1.6,,,0.8,1,,,0.25,,1.1,,8,0.7,,,,,,0.8,,0.4
19971001,1997,Chíriqui,,,,,,,4.8,,,1.4,,,,,,,,,0.6,,,,,,,,,,,2.1,2.23,,,,,,,,,,,,,,,,,,,,1,,,,1.8,2.1,,,,,,,,,,,,,,,0.25,,,,1.5,,,0.3,,,,,,
19971002,1997,Chíriqui,3.5,,,,,,6,,2,3.6,15.5,,1.75,1.75,,,,,,,,,,,,,,,2.5,6.5,,2.52,,,,,,,,1.25,1,,,,,,,,,,,,6,,,3.5,,,,,,,12.5,,2,,,,1,,0.5,,4.25,,,3.5,,,,,,,2,
19971003,1997,Chíriqui,3.5,,,,,,,,,,10,,,,,,,,1,,,,0.8,,,,0.6,,,1.95,,,,,,,,,,,,,,,,,,,0.35,,1,,,,,1.56,,,,,,,,0.8,,,,,,,0.25,,,,,,,,,,,,,
19971005,1997,Chíriqui,3.7,,,,,,,,4.5,1.5,50,12.5,,1.5,,,,,,,,,,,,,0.75,,,5.25,5.6,,1.5,0.8,,,,,,,3.5,,1.6,,,,1,,,,7,,,,,5.25,,,12.5,,,,,3.2,1,,,2.5,,,0.5,,,,,0.7,,,,,1,,,
19971006,1997,Chíriqui,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,1.6,,,,,,,,,,,2.5,,,,,,,,,
19971008,1997,Chíriqui,3.5,,,,,,,,1.9,,,8.25,1,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,1,,,,,,,,,,4,,2,,,4.8,,,7,,,,12.5,,,,,,,,0.5,,,,,,,,,,,,,
19971009,1997,Chíriqui,,,,1,,,7.5,,1.9,1.8,14,,2,,,,,,,,,,3,,,,0.25,,,,11.2,1.26,,6,,,,,,,0.5,,,,,,,,,,7,,2.4,,,4.48,,,,,,,7.5,4.8,,,,,1,,0.25,,0.75,,,0.7,,3.6,,,,,,
19971010,1997,Chíriqui,4.4,,,,,,8,,3,2.7,3.2,,1.4,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.2,,,0.9,,,,,,,,1.6,,,,,,,,,,,,,,1.2,,,,,,
19971011,1997,Chíriqui,3.8,,,0.8,,,3,,2,1.8,24.75,,0.25,1.4,,,,,0.5,,,,,,,,,,,5.25,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,5,,,,12.5,1,,,,,,,0.25,,,,,,,,,2.4,,,,
19971012,1997,Chíriqui,3.5,,,0.25,,,6,,3.6,4.8,1.7,,1,0.7,,,,,1.5,,1,,,,,,1.2,,,,,,,0.8,,,,,,,,,,1.2,,,,,,,,,1.5,,,,,,,,,,5,1.6,,,,,,0.6,1,,,,,0.7,,,2.4,,,,0.6,
19971013,1997,Chíriqui,4.38,,,0.4,,,12,,3,2.4,15.4,3.6,1.2,3.05,,,,,,,,,3.6,,,,1.92,,0.9,4.32,,6.1,,5.4,,,,,,,0.7,,,,,,1.5,,,,2.5,,3.2,,2.48,1.92,,,6.25,,,,23.4,5.4,,,,2.5,,,0.5,,3.2,,3,1.4,,3,,,,,,
19971014,1997,Chíriqui,7,,,0.5,,,18,,6,1.2,9.9,,1.8,,,,,,1,,,,3.6,2,,,2.4,,2.4,10.3,13.68,,,3.2,,,,,,,,,,,,,6,,,,5,,4,,,4,,,,,,,7.2,5.4,,,,3,,,1,,1.4,,2,4.2,,1.6,,,,,,
19971015,1997,Chíriqui,,,,,,,3,,2.1,1.2,,,,,,,,,,,0.3,,,,,,,,0.6,,,2,,,,,,,,,,,,,,,0.5,,,0.5,0.75,,1,,,,,,1.5,,,,,,,,,,,,0.25,,,,1,1.4,,,,,,,,
19971016,1997,Chíriqui,,,,0.4,,,3,,1.5,1.2,10.8,,0.45,2,,,,,0.5,,1.5,,,0.75,,,,,2.88,2.1,,,,0.7,,,,,,1,1.5,,,,,,,,,1,2,,0.4,,,2.1,,,,,,1.5,12,,,,,1,,,0.5,,2.4,,1.5,0.7,,,,,,,,
19971017,1997,Chíriqui,,,,0.1,,,2.4,,1.5,2.1,10.2,,1.4,1.5,6,,,,3,,4,,,,,,,,0.72,0.7,,,,0.85,,,,,,,0.35,,2.1,,,,,,,1,3.75,,0.8,,,,,,,,,,7.5,0.9,,,,4,,0.5,0.25,,2.2,,7,0.7,,,,,,,,0.25
19971018,1997,Chíriqui,3.4,,,0.05,,0.3,8.4,,2.4,2.2,10.2,2,0.8,0.1,7,,,,0.75,,2.4,,1.2,1.5,,,0.3,,3.12,0.35,,,,1.8,,,,,,,,,0.85,,,,1,,,2,3.6,,,,,4.8,,,,,,,5.6,1.8,,,,0.25,,1,0.25,,0.9,,0.25,,,1.2,,,,0.2,,
19971019,1997,Chíriqui,,,,0.25,,1,7.2,,3,2.4,12.4,5,1,3.5,,,,,,,,,,2,,,,,0.72,4.9,,,0.8,1.6,,,,,,,0.35,,1.6,,,,,,,1,3,,1.1,,,0.8,,,,,,,9.6,1,1,,1.25,0.5,,1,1,,,,3,1.4,,0.6,,,,,,
19971020,1997,Chíriqui,,,,,,,9,,1.35,1.1,10.2,,0.35,,,,,,,,,,,,,,,,0.6,,,0.62,,,,,,,,,0.3,,,,,,,,,,1,,,,,0.64,,,,,,,2.4,0.89,,,,,,,0.25,,0.98,,1,1.4,,,,1.15,,,,
19971021,1997,Chíriqui,2.15,,1,,10.17,,18,0.6,1.25,5.9,2.5,,0.8,5.4,,,,,,0.5,1.6,,,2.5,,0.15,0.5,,3,,18.12,11.6,0.6,1.2,,,0.25,,,1,,,1.85,,,,,0.5,0.4,,4,,1.2,,,,,,4.2,,1.25,0.3,15,1.7,1.5,,2.17,,,0.6,0.5,,,,,,,,5,2.25,0.4,,0.5,0.9
19971022,1997,Chíriqui,,,,0.2,,,6,,1.5,,,,,0.5,,,,,0.25,,2,,0.55,,,,1.5,,1.2,,2.25,1.26,,1.4,,,,,,,,,,,,,1,,,,1.5,,,,1.8,0.32,,,,,,,4.8,0.9,,,,0.5,,,,,1.5,,1.5,,,,,,,,,
