i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
1997125,1997,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.098612289
1997160,1997,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
1997170,1997,,1,3,1,4,1,2,1,0,0,1,1,1,0,0,0,1,1,0,2.197224577
1997177,1997,,4,9,1,5,2,1,4,1,1,3,2,0,0,2,0,2,1,0,2.944438979
1997178,1997,,2,1,2,2,0,0,0,1,1,0,0,1,2,0,0,1,0,1,1.945910149
1997179,1997,,2,4,2,2,1,0,0,1,3,0,0,1,2,1,0,1,0,0,2.302585093
1997180,1997,,1,3,2,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1.945910149
1997189,1997,,4,4,1,2,3,0,0,1,1,1,0,0,1,3,0,0,0,1,2.397895273
1997196,1997,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
1997269,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
1997302,1997,,1,1,2,2,0,1,1,0,0,1,0,0,0,0,2,1,0,0,1.791759469
1997303,1997,,2,4,1,0,0,0,1,0,2,0,1,1,1,0,0,1,0,0,1.945910149
1997304,1997,,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
1997305,1997,,1,3,1,3,0,1,2,0,1,1,0,1,0,0,1,1,0,0,2.079441542
1997326,1997,,1,0,1,3,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
1997393,1997,,1,3,1,1,0,1,1,0,2,0,0,0,0,1,1,0,0,0,1.791759469
1997394,1997,,1,3,1,1,1,0,2,1,0,0,0,0,0,0,1,1,0,0,1.791759469
1997395,1997,,1,0,1,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1.386294361
1997396,1997,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6931471806
1997397,1997,,2,3,1,3,2,1,0,0,1,1,0,1,1,1,0,1,0,0,2.197224577
1997398,1997,,1,0,3,3,0,0,0,0,0,1,0,2,2,0,0,1,1,0,1.945910149
1997399,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1997400,1997,,2,2,2,1,0,0,0,1,2,0,0,0,0,1,2,0,0,1,1.945910149
1997401,1997,,2,3,2,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,2.079441542
1997402,1997,,1,0,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361
1997403,1997,,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1997404,1997,,1,2,1,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1.609437912
1997405,1997,,2,1,1,2,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1.791759469
