n,F 00-03,M 00-03,F 04-08,M 04-08,F 09-13,M 09-13,F 14-18,M 14-18,F 19-30,M 19-30,F 31-50,M 31-50,F 51+,M 51+
Energy,1000,1000,1200,1400,1600,1800,1800,2200,2000,2400,1800,2200,1600,2000
Protein,13,13,19,19,34,34,46,52,46,56,46,56,46,56
Fiber,14,14,16.8,19.6,22.4,25.2,25.2,30.8,28,33.6,25.2,30.8,22.4,28
Folate,150,150,200,200,300,300,400,400,400,400,400,400,400,400
Calcium,700,700,1000,1000,1300,1300,1300,1300,1000,1000,1000,1000,1200,1000
Carbohydrate,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Iron,7,7,10,10,8,8,15,11,18,8,18,8,8,8
Magnesium,80,80,130,130,240,240,360,410,310,400,320,420,320,420
Niacin,6,6,8,8,12,12,14,16,14,16,14,16,14,16
Phosphorus,460,460,500,500,1250,1250,1250,1250,700,700,700,700,700,700
Potassium,3000,3000,3800,3800,4500,4500,4700,4700,4700,4700,4700,4700,4700,4700
Riboflavin,0.5,0.5,0.6,0.6,0.9,0.9,1,1.3,1.1,1.3,1.1,1.3,1.1,1.3
Thiamin,0.5,0.5,0.6,0.6,0.9,0.9,1,1.2,1.1,1.2,1.1,1.2,1.1,1.2
Vitamin A,300,300,400,400,600,600,700,900,700,900,700,900,700,900
Vitamin B-12,0.9,0.9,1.2,1.2,1.8,1.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Vitamin B-6,0.5,0.5,0.6,0.6,1,1,1.2,1.3,1.3,1.3,1.3,1.3,1.5,1.7
Vitamin C,15,15,25,25,45,45,65,75,75,90,75,90,75,90
Vitamin E,6,6,7,7,11,11,15,15,15,15,15,15,15,15
Vitamin K,30,30,55,55,60,60,75,75,90,120,90,120,90,120
Zinc,3,3,5,5,8,8,9,11,8,11,8,11,8,11
